Site,Designation,AYLD_CONT,Blk,analysisResultFolder,username,design,respvars,environment,environmentLevels,genotype,block,rep,row,column,descriptiveStat,varianceComponents,boxplotRawData,histogramRawData,heatmapResiduals,heatmapRow,heatmapColumn,diagnosticPlot,genotypeFixed,performPairwise,pairwiseAlpha,genotypeLevels,controlLevels,compareControl,performAllPairwise,genotypeRandom,excludeControls,genoPhenoCorrelation
Env1,IR 97477-40-2-2-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97641-130-2-2-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97633-115-1-2-B,720,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97632-143-1-1-B,NA,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97632-117-3-2-B,717,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97631-143-3-3-B,1176,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97631-115-3-2-B,892,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97630-53-1-5-B,774,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97629-76-3-2-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97629-76-3-2-B,NA,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
