"Levels","type","PlantHt_means","PC1","PC2"
"G1","GEN",118.519132811749,-12.1433071727298,-2.57342564145973
"G10","GEN",137.470049932163,-58.8869433774371,0.37348061089142
"G11","GEN",114.825389291919,-3.33718770734695,8.35919958835001
"G12","GEN",111.031725619645,6.35653163293913,-2.60675493965202
"G13","GEN",105.712932548286,18.9806184407933,7.20891058250706
"G14","GEN",118.411612846189,-12.1489183130799,2.25330716469447
"G15","GEN",122.926909359701,-23.1248699151051,-0.528225473234753
"G16","GEN",106.267045212201,18.1193505834996,-4.38003505388038
"G17","GEN",113.421124579954,-0.0778955971283153,6.23093177574985
"G18","GEN",101.883975434116,28.1428667166947,2.78243660302763
"G19","GEN",106.586914463518,17.2909813089962,-4.77223455313588
"G2","GEN",148.025088566714,-84.5162400787931,-3.24801380277226
"G20","GEN",124.636516618747,-26.9044275963266,-10.860284728172
"G21","GEN",106.201096396641,18.0217619706163,1.96629499593553
"G22","GEN",112.758183074159,1.89149484045311,2.40425708842715
"G23","GEN",119.206569319954,-14.0237849332948,0.905682039423918
"G24","GEN",117.552186955,-9.84368355573186,-5.87800562554524
"G25","GEN",103.872053309896,23.6969566885211,1.10871558760035
"G26","GEN",110.371029125578,7.55036045648749,-3.22023118089099
"G27","GEN",115.603299342004,-5.19859897516775,-1.44815784588553
"G28","GEN",88.4795939126999,61.4786214208222,0.832986610369384
"G29","GEN",96.3115730119762,42.2200094101768,-2.68079558358135
"G3","GEN",118.081390835125,-11.1259273719929,0.355598794879583
"G30","GEN",115.502568702861,-4.89915099642266,3.71143953418531
"G31","GEN",134.263343732846,-50.8095522364426,-0.558131998818025
"G32","GEN",114.316332347049,-1.88135831275925,1.02419886843369
"G33","GEN",114.980568183705,-3.84847681368156,3.12934106899319
"G34","GEN",105.603807155688,19.3999270068604,1.16447978117659
"G35","GEN",118.742137147282,-12.6550988356665,-1.47969732760711
"G36","GEN",107.77724977348,14.0359365781502,1.22314769483882
"G37","GEN",103.989131136382,23.3915571645334,2.75247388446386
"G38","GEN",128.547445170044,-37.4557415319671,10.7141604800545
"G39","GEN",120.093928811546,-16.1152728721899,-3.75855445823054
"G4","GEN",118.562141822156,-12.5570442511067,3.29401026269366
"G40","GEN",117.877134804104,-10.7969617667269,2.43999318943456
"G5","GEN",106.36087940229,17.8053080955896,-3.77894325127382
"G6","GEN",99.7473215604178,33.7145781584758,-3.05566897056168
"G7","GEN",98.308023351343,37.2697595263405,-0.963250745528934
"G8","GEN",108.490685567113,12.568532673895,-6.62912498622148
"G9","GEN",109.312054792169,10.4152895372527,-1.81551003967878
"E1","ENV",121.467569224757,-0.45318492597068,0.425589293467342
"E2","ENV",116.46928013498,-0.38465432751873,-0.660025753873817
"E3","ENV",116.817931311526,-0.404949669050397,-0.388180677220784
"E4","ENV",102.257541451679,-0.38698250478488,-0.117059297156651
"E5","ENV",117.36850704478,-0.429114446089672,0.271814292325988
"E6","ENV",106.713692736541,-0.385727325811396,0.380748776463161
