"GENO","ENV","GRAINYLD_means"
"G1","E1",61.6249273742889
"G1","E3",71.0657393676414
"G1","E6",44.3198297431489
"G1","E5",48.436915080906
"G1","E4",80.2461698466204
"G1","E2",72.6927176083117
"G2","E5",41.3070810084468
"G2","E1",83.2504791759954
"G2","E4",77.5402412932636
"G2","E2",63.3509307763012
"G2","E3",87.0034126447877
"G2","E6",43.8258539493433
"G3","E1",27.952170553026
"G3","E3",31.7051040218183
"G3","E6",31.8186207633049
"G3","E2",36.4920147761332
"G3","E4",36.4616289816949
"G3","E5",27.0878950628571
"G4","E5",48.3302887155083
"G4","E1",54.5664494788731
"G4","E3",49.7875651608249
"G4","E2",40.3547796037391
"G4","E4",46.64425883659
"G4","E6",42.9492303722934
"G5","E5",36.5286409986584
"G5","E4",43.690422157945
"G5","E3",46.5177352308155
"G5","E1",51.9286060515925
"G5","E6",37.1514544313683
"G5","E2",52.5686189905882
"G6","E3",28.0256381756786
"G6","E5",46.1599433149585
"G6","E4",27.7262711137238
"G6","E2",30.2846029190778
"G6","E1",24.5886979582508
"G6","E6",49.310702758584
"G7","E6",42.7489613421299
"G7","E2",32.5706725408286
"G7","E4",32.5402867463903
"G7","E3",39.7915053383632
"G7","E5",39.28220864714
"G7","E1",28.7707270881884
