"Geno","PlantHt_LSMean","PlantHt_StdErrMean","YLD_LSMean","YLD_StdErrMean"
"AUS196",118.519132820882,3.86493157652644,2.01833283631287,0.377335547951686
"AZUCENA",148.025088555729,3.86516202349218,1.61969504601004,0.377354550943956
"B6144F-MR-6-0-0",118.081390839334,3.8650147020204,2.8258830576949,0.377343905652226
"C22",118.56214187058,3.86499896394242,2.90418208406598,0.377338048519547
"CT13370-12-2-M",106.360879363021,3.88879019954437,0.898827573060104,0.378847758311775
"CT13377-4-2-M",99.7473215913927,3.91438634838406,1.52555208270678,0.378854472744162
"CT13382-8-3-M",98.3080233343216,3.86538624148225,1.22962516949271,0.377364721187596
"CT6510-24-1-2",108.490685547949,3.86538113129643,2.9223324740858,0.377355038572384
"CT6516-24-3-2",109.312054814267,3.86470925648571,1.59659321353499,0.377324130908518
"DINORADO",137.470049965188,3.86538104772173,1.46877588159914,0.377349559053496
"IR47686-30-3-2",114.825389245706,3.86502211510138,2.80177954494915,0.377341783565198
"IR55419-04",111.031725603096,3.8652253392613,2.60364753557018,0.377349111754238
"IR55423-01",105.71293255727,3.86498557847025,3.12839562967106,0.377340623494462
"IR60080-46A",118.411612810078,3.86553396445235,2.15922905557122,0.377357720395211
"IR65261-09-1-B",122.926909350866,3.86498226603097,1.58425855631416,0.377335532217942
"IR65907-116-1-B",106.267045251449,3.8648914312881,1.57860381176944,0.377339673305709
"IR66417-18-1-1-1",113.42112457027,3.86534038105316,1.23169662560553,0.377355663273154
"IR66421-062-1-1-2",101.883975436999,3.91435735098986,1.58389358178233,0.378866760553314
"IR66424-1-2-1-5",106.586914444074,3.86565156720985,1.83525769062384,0.377369999684766
"IR68702-072-1-4-B",124.636516616305,3.86533321549201,2.00695429762348,0.377348931741018
"IR70358-84-1-1",106.201096409514,3.8650583159977,1.13392771820687,0.377345460114074
"IR70360-38-1-B-1",112.758183077471,3.86526275768851,1.99771562061329,0.377346126074214
"IR71524-44-1-1",119.20656931346,3.86496869923908,2.17346260715782,0.37734290131633
"IR71525-19-1-1",117.552186986323,3.86524370516732,1.87159261968256,0.377350095331428
"IR72768-15-1-1",103.87205329148,3.91430750551863,1.7401079416445,0.37885211622887
"IRAT170",110.371029123121,3.86498724900068,1.52944581764637,0.377336421184111
"IRAT177",115.603299281619,3.86546908560991,1.39036956517059,0.377358937207763
"IRAT212",88.4795938858357,3.86531708288805,0.968235218921857,0.377351661515439
"IRAT216",96.3115730113362,3.91404022259062,1.24134477722085,0.378845603216008
"MARAVILHA",115.502568705738,3.86562471761544,1.37766772616015,0.3773696546596
"PALAWAN",134.263343772248,3.86543368798958,1.51771003432063,0.377356796866394
"PRIMAVERA",114.316332351243,3.86530726803726,1.2782052057243,0.37809787919841
"UPLRI-5",114.980568219047,3.86523196726969,2.56162648451741,0.377354022662738
"UPLRI-7",105.603807173554,3.86523376871958,3.22854470366797,0.377352025308339
"VANDANA",118.74213716027,3.8654154595791,1.82316314392531,0.377356340713679
"WAB181-18",107.777249796116,3.86521311651255,1.04126450526526,0.378086818133577
"WAB56-125",103.989131161423,3.86548127258722,1.01284974595848,0.377363642964948
"WAB638-1",128.547445160189,3.86501986223914,1.15316666041476,0.377347480316276
"WAB96-1-1",120.093928819687,3.86492602932492,1.14136278951561,0.377337159394121
"WAYRAREM",117.877134813557,3.86516817204606,2.37855080677056,0.377350916603094
