Genotype,loc,Yield,Stage,Module,Year,Seas,Env
MT4001,Agusan,4.229768611,1,1,2012,DS,AguD
MT4001,Bohol,3.179600607,1,1,2012,DS,BohD
MT4001,Laguna,4.96363616,1,1,2012,DS,LagD
MT4001,Nueva Ecija,7.54571009,1,1,2012,DS,NueD
MT4002,Agusan,2.933001995,1,1,2012,DS,AguD
MT4002,Bohol,3.036427784,1,1,2012,DS,BohD
MT4002,Laguna,4.383737211,1,1,2012,DS,LagD
MT4002,Nueva Ecija,7.314922596,1,1,2012,DS,NueD
MT4003,Agusan,4.462707506,1,1,2012,DS,AguD
MT4003,Bohol,3.362859002,1,1,2012,DS,BohD
MT4003,Laguna,5.363431516,1,1,2012,DS,LagD
MT4003,Nueva Ecija,8.07428595,1,1,2012,DS,NueD
MT4005,Agusan,3.921180562,1,1,2012,DS,AguD
MT4005,Bohol,2.929739264,1,1,2012,DS,BohD
MT4005,Laguna,4.80035185,1,1,2012,DS,LagD
MT4005,Nueva Ecija,7.738500625,1,1,2012,DS,NueD
MT4006,Agusan,4.248175195,1,1,2012,DS,AguD
MT4006,Bohol,3.060921955,1,1,2012,DS,BohD
MT4006,Laguna,4.73832783,1,1,2012,DS,LagD
MT4006,Nueva Ecija,7.63131988,1,1,2012,DS,NueD
MT4007,Agusan,3.888741369,1,1,2012,DS,AguD
MT4007,Bohol,3.071121626,1,1,2012,DS,BohD
MT4007,Laguna,4.943147357,1,1,2012,DS,LagD
MT4007,Nueva Ecija,7.76000042,1,1,2012,DS,NueD
MT4010,Agusan,4.374539351,1,1,2012,DS,AguD
MT4010,Bohol,3.378022508,1,1,2012,DS,BohD
MT4010,Laguna,4.966139951,1,1,2012,DS,LagD
MT4010,Nueva Ecija,7.726782937,1,1,2012,DS,NueD
MT4011,Agusan,4.194802565,1,1,2012,DS,AguD
MT4011,Bohol,3.829193296,1,1,2012,DS,BohD
MT4011,Laguna,4.888065423,1,1,2012,DS,LagD
MT4011,Nueva Ecija,7.9591818,1,1,2012,DS,NueD
MT4012,Agusan,4.305272025,1,1,2012,DS,AguD
MT4012,Bohol,3.410040585,1,1,2012,DS,BohD
MT4012,Laguna,5.020626888,1,1,2012,DS,LagD
MT4012,Nueva Ecija,7.959720769,1,1,2012,DS,NueD
MT4014,Agusan,4.096574171,1,1,2012,DS,AguD
MT4014,Bohol,3.269368074,1,1,2012,DS,BohD
MT4014,Laguna,4.975122252,1,1,2012,DS,LagD
MT4014,Nueva Ecija,7.721250093,1,1,2012,DS,NueD
MT4016,Agusan,4.716008163,1,1,2012,DS,AguD
MT4016,Bohol,3.633868567,1,1,2012,DS,BohD
MT4016,Laguna,5.599284824,1,1,2012,DS,LagD
MT4016,Nueva Ecija,8.052625002,1,1,2012,DS,NueD
MT4020,Agusan,4.606768926,1,1,2012,DS,AguD
MT4020,Bohol,3.625995763,1,1,2012,DS,BohD
MT4020,Laguna,5.498936324,1,1,2012,DS,LagD
MT4020,Nueva Ecija,7.96554919,1,1,2012,DS,NueD
MT4021,Agusan,4.380438296,1,1,2012,DS,AguD
MT4021,Bohol,3.419294785,1,1,2012,DS,BohD
MT4021,Laguna,5.25143999,1,1,2012,DS,LagD
MT4021,Nueva Ecija,8.151978375,1,1,2012,DS,NueD
MT4022,Agusan,4.497345724,1,1,2012,DS,AguD
MT4022,Bohol,3.547225547,1,1,2012,DS,BohD
MT4022,Laguna,5.267340599,1,1,2012,DS,LagD
MT4022,Nueva Ecija,8.090131247,1,1,2012,DS,NueD
MT4024,Agusan,3.840887951,1,1,2012,DS,AguD
MT4024,Bohol,3.411698987,1,1,2012,DS,BohD
MT4024,Laguna,5.371203,1,1,2012,DS,LagD
MT4024,Nueva Ecija,8.063090562,1,1,2012,DS,NueD
MT4025,Agusan,3.81503066,1,1,2012,DS,AguD
MT4025,Bohol,3.439073968,1,1,2012,DS,BohD
