"GENO","GRAINYLD_PredMean","ENV"
"G1",61.5248616060495,"E1"
"G2",83.9627173952456,"E1"
"G3",27.8680779222552,"E1"
"G4",54.9254922562859,"E1"
"G5",52.2857445163805,"E1"
"G6",24.2384247798852,"E1"
"G7",28.5280148572316,"E1"
"G1",72.8076561822216,"E2"
"G2",63.0069200842676,"E2"
"G3",36.8716238230568,"E2"
"G4",40.1385358557082,"E2"
"G5",52.8794927830484,"E2"
"G6",30.3377997577541,"E2"
"G7",32.6246381806101,"E2"
"G1",71.2668187963639,"E3"
"G2",87.6132411733144,"E3"
"G3",32.0354050916827,"E3"
"G4",50.0164697063283,"E3"
"G5",46.7471852309382,"E3"
"G6",28.1122637212146,"E3"
"G7",40.208616280158,"E3"
"G1",80.7586130994731,"E4"
"G2",77.8127347358456,"E4"
"G3",36.8977574632413,"E4"
"G4",46.7173520086663,"E4"
"G5",43.7714736450388,"E4"
"G6",27.7328025541779,"E4"
"G7",32.6425998268904,"E4"
"G1",46.981877428185,"E5"
"G2",40.0652180227125,"E5"
"G3",28.03624514363,"E5"
"G4",47.5833260721391,"E5"
"G5",36.4565261589878,"E5"
"G6",46.0797044622538,"E5"
"G7",39.4637693787584,"E5"
"G1",43.0086888373912,"E6"
"G2",42.4556477443043,"E6"
"G3",33.3304697083702,"E6"
"G4",42.4556477443043,"E6"
"G5",37.4782779065221,"E6"
"G6",48.5390997682603,"E6"
"G7",42.7321682908477,"E6"
