"","PLOT","ENTRYNO","GID","ENTRY","DESIGNATION","PARENTS","SOURCE","REP","ROW","COLUMN","SEEDING_DATE","FLW","MATURITY","PLTHGT","TILLER","MC","Plotyield.H","MISSHILL","Plotyield.C","Plotyield.Adj","LODGING","Ldg.Sticks","GLH","BPH","BLAST","BB1","BB2","HARVESTDATE","REMARKS","Plotyield.Adj_resid_fixed"
"1",66,"F1287",4016515,"CIHERANG","CIHERANG","IR 18349-53-1-3-1-3/2IR 19661-131-3-1-3//IR 5657-33-2-1/IR 2061-465-1-5-5","F3440",1,"9","1",20130608,85,115,120,21,10.4,3082,NA,2405,3211,"5",NA,7,3,3,"1","7","05-Oct",NA,295.499999999998
"2",209,"F1287",4016515,"CIHERANG","CIHERANG","IR 18349-53-1-3-1-3/2IR 19661-131-3-1-3//IR 5657-33-2-1/IR 2061-465-1-5-5","F3440",2,"4","11",20130608,86,116,116,18,10.7,2523,NA,3022,2620,NA,NA,NA,NA,NA,"1","7","07-Oct","shb",-295.500000000002
"3",48,"F1288",4016516,"CIHERANG-SUB1","IR09F436","CIHERANG2/IRRI 149","F3441",1,"9","19",20130608,87,117,117,19,10.5,2299,6,3513,2393,NA,NA,7,7,3,"1","7","10-Oct",NA,-325
"4",208,"F1288",4016516,"CIHERANG-SUB1","IR09F436","CIHERANG2/IRRI 149","F3441",2,"4","10",20130608,87,117,113,18,10.8,2934,NA,1699,3043,NA,NA,NA,NA,NA,"1","5","09-Oct",NA,325
"5",427,"A1289",967269,"IR02A127","IR 75287-19-3-3-3","IR00A107/IR 62243-41-1-3-3","A3451",1,"8","64",20130608,89,119,121,18,10.4,2623,NA,2252,2733,"9","S",5,9,0,"1","5","14-Oct","shb",4.54747350886464e-13
"6",258,"A1001",967011,"IR02A149","IR 75298-59-3-1-3","IR00A107/PSB RC 54 (IR 60819-34-2-1)","A3201",1,"3","7",20130608,89,119,120,19,11,2647,NA,3092,2739,"5",NA,5,3,3,"1","1","09-Oct","bb, shb",4.54747350886464e-13
"7",627,"A1290",1129071,"IR03A159","IR 76928-74-3-2-1","IR 66696-49-1-2/PSB RC 64 (IR 59552-21-3-2-2)","A3203",1,"2","66",20130608,91,121,129,14,10.2,2290,NA,NA,2391,"5",NA,3,3,1,"1","5","14-Oct",NA,0
"8",6,"A1002",1111689,"IR03A262","IR 77032-47-2-3-3","IR 71606-1-2-1-3-2-3-1/PSB RC 64 (IR 59552-21-3-2-2)","A3204",1,"10","6",20130608,86,116,125,25,10.8,3017,NA,3017,3129,NA,NA,5,5,3,"1","5","30-Sep",NA,4.54747350886464e-13
"9",407,"A1291",1111627,"IR03A290","IR 77140-24-2-1-2","IR 68068-99-1-3-3-3/JANAKI//PSB RC 18 (IR 51672-62-2-1-1-2-3)","A3452",1,"8","44",20130608,91,121,116,14,10,2844,NA,2950,2976,NA,NA,5,7,3,"1","1","17-Oct","shb",4.54747350886464e-13
"10",336,"A1292",1134623,"IR03A550","IR 77700-84-2-2-2","IR 68427-15-2-3-1/IR 68068-99-1-3-3-3//IR 1529-ECIA","A3453",1,"10","39",20130608,90,120,114,14,9.6,3224,NA,2164,3389,NA,NA,5,5,3,"1","5","11-Oct"," good, erect flags",0
